BIB_ID,MFHD_ID,ITEM_ID,BibSuppress,MfhdSuppress,BIB_FORMAT,LANGUAGE,TITLE,AUTHOR,TITLE_BRIEF,EDITION,ISBN,NETWORK_NUMBER,PUBLISHER_DATE,PUBLISHER,BEGIN_PUB_DATE,MfhdLocation,displayCallNo,normCallNo,ITEM_ENUM,CHRON,COPY_NUMBER,PIECES,ITEM_BARCODE,ItemPermLocCode,ItemPermLocName,ItemPermTypeName,ItemTempLocCode,ItemTempLocName,ItemTempTypeName,CREATE_DATE,UPDATE_DATE,PO_ID,MaxOfCHARGE_DATE
62073,67433,74410,N,N,am,eng,Harvard classics.,,Harvard classics.,,,(OCoLC)ocm00365184,[c1909-10],P.F. Collier & son,1909,aastx,AC1 .A4,AC    1            A 4,v.3,,2,1,="31811010314816",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,11/15/2017
62073,67433,74412,N,N,am,eng,Harvard classics.,,Harvard classics.,,,(OCoLC)ocm00365184,[c1909-10],P.F. Collier & son,1909,aastx,AC1 .A4,AC    1            A 4,v.5,,2,1,31811010314741,aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,11/15/2017
