BIB_ID`MFHD_ID`ITEM_ID`BibSuppress`MfhdSuppress`BIB_FORMAT`LANGUAGE`TITLE`AUTHOR`TITLE_BRIEF`EDITION`ISBN`NETWORK_NUMBER`PUBLISHER_DATE`PUBLISHER`BEGIN_PUB_DATE`MfhdLocation`displayCallNo`normCallNo`ITEM_ENUM`CHRON`COPY_NUMBER`PIECES`ITEM_BARCODE`ItemPermLocCode`ItemPermLocName`ItemPermTypeName`ItemTempLocCode`ItemTempLocName`ItemTempTypeName`CREATE_DATE`UPDATE_DATE`PO_ID`MaxOfCHARGE_DATE
692726`740475`813004`N`N`am`eng`Very brief history of eternity / Carlos Eire.`Eire, Carlos M. N.`Very brief history of eternity /``9780691133577 (hardcover : alk. paper)`(OCoLC)ocn318874691`c2010.`Princeton University Press,`2010`aastx`BT913 .E74 2010`BT  913            E 74   2010```1`1`31811013577393`aastx`Book Collection`BOOK 16/8/4 WK````17-Mar-11`07-Jun-11`14072`
704184`752438`818944`N`N`am`eng`History of continental philosophy / general editor, Alan D. Schrift.``History of continental philosophy /``9780226740461 (cloth : alk. paper)`(OCoLC)ocn587209557`2010.`The University of Chicago Press,`2010`aastx`B791 .H57 2010`B  791            H 57   2010`v.4``1`1`31811013799815`aastx`Book Collection`BOOK 16/8/4 WK````08-Feb-12`28-Feb-12`14521`30-May-12
704184`752438`818940`N`N`am`eng`History of continental philosophy / general editor, Alan D. Schrift.``History of continental philosophy /``9780226740461 (cloth : alk. paper)`(OCoLC)ocn587209557`2010.`The University of Chicago Press,`2010`aastx`B791 .H57 2010`B  791            H 57   2010`v.7``1`1`31811013799864`aastx`Book Collection`BOOK 16/8/4 WK````08-Feb-12`28-Feb-12`14521`
741632`790439`823681`N`N`am`eng`Penguin handbook of the world's living religions / edited by John R. Hinnells.``Penguin handbook of the world's living religions /``9780141035468 (pbk.)`(OCoLC)ocn458730232`c2010.`Penguin Books,`2010`aastx`BL82 .P46 2010`BL   82            P 46   2010```1`1`31811013855310`aastx`Book Collection`BOOK 16/8/4 WK````11-Apr-12`19-Jul-12`14836`
741636`790442`824061`N`N`am`eng`Sitting in oblivion : the heart of Daoist meditation / Livia Kohn.`Kohn, Livia, 1956-`Sitting in oblivion : the heart of Daoist meditation /``9781931483162 (alk. paper)`(OCoLC)ocn501976685`c2010.`Three Pines Press,`2010`aastx`BL1923 .K685 2010`BL 1923            K 685   2010```1`1`31811013843431`aastx`Book Collection`BOOK 16/8/4 WK````11-Apr-12`30-Jul-12`14836`
692657`740446`813274`N`N`am`eng`Beyond : on life after death / Fred M. Frohock.`Frohock, Fred M.`Beyond : on life after death /``9780700617012 (cloth : alk. paper)`(OCoLC)ocn458891773`c2010.`University Press of Kansas,`2010`aastx`BL535 .F76 2010`BL  535            F 76   2010```1`1`31811013577419`aastx`Book Collection`BOOK 16/8/4 WK````17-Mar-11`20-Jun-11`14072`
704184`752438`818946`N`N`am`eng`History of continental philosophy / general editor, Alan D. Schrift.``History of continental philosophy /``9780226740461 (cloth : alk. paper)`(OCoLC)ocn587209557`2010.`The University of Chicago Press,`2010`aastx`B791 .H57 2010`B  791            H 57   2010`v.2``1`1`31811013799831`aastx`Book Collection`BOOK 16/8/4 WK````08-Feb-12`28-Feb-12`14521`
704184`752438`818947`N`N`am`eng`History of continental philosophy / general editor, Alan D. Schrift.``History of continental philosophy /``9780226740461 (cloth : alk. paper)`(OCoLC)ocn587209557`2010.`The University of Chicago Press,`2010`aastx`B791 .H57 2010`B  791            H 57   2010`v.1``1`1`31811013799849`aastx`Book Collection`BOOK 16/8/4 WK````08-Feb-12`28-Feb-12`14521`
704184`752438`818941`N`N`am`eng`History of continental philosophy / general editor, Alan D. Schrift.``History of continental philosophy /``9780226740461 (cloth : alk. paper)`(OCoLC)ocn587209557`2010.`The University of Chicago Press,`2010`aastx`B791 .H57 2010`B  791            H 57   2010`v.6``1`1`31811013799872`aastx`Book Collection`BOOK 16/8/4 WK````08-Feb-12`28-Feb-12`14521`30-May-12
664385`713479`787865`N`N`am`eng`Leibniz : an intellectual biography / Maria Rosa Antognazza.`Antognazza, Maria Rosa, 1964-`Leibniz : an intellectual biography /``9780521806190 (hardback)`(OCoLC)ocn183162215`2009.`Cambridge University Press,`2009`aastx`B2597 .A68 2009`B 2597            A 68   2009```1`1`31811013563823`aastx`Book Collection`BOOK 16/8/4 WK````03-Dec-08`21-May-09`12897`
673200`718201`793244`N`N`am`eng`Helping skills : facilitating exploration, insight, and action / Clara E. Hill.`Hill, Clara E., 1948-`Helping skills : facilitating exploration, insight, and action /`3rd ed.`9781433804519 (hbk.)`(OCoLC)ocn271104860`c2009.`American Psychological Association,`2009`aastx`BF637.C6 H46 2009`BF  637            C 6   H 46   2009```1`1`31811013610202`aastx`Book Collection`BOOK 16/8/4 WK````04-Aug-09`18-Aug-09`13281`04-Sep-12
664348`713512`787400`N`N`am`eng`History of Chinese philosophy / edited by Bo Mou.``History of Chinese philosophy /``9780415356886 (hardback : alk. paper)`(OCoLC)ocn216659789`2009.`Routledge,`2009`aastx`B5231 .R68 2009`B 5231            R 68   2009```1`1`31811013505881`aastx`Book Collection`BOOK 16/8/4 WK````02-Dec-08`15-May-09`12899`02-Nov-11
670019`715965`790641`N`N`am`eng`Relativism and monadic truth / Herman Cappelen and John Hawthorne.`Cappelen, Herman.`Relativism and monadic truth /``9780199560554`(OCoLC)ocn244417451`2009.`Oxford University Press,`2009`aastx`BD221 .C27 2009`BD  221            C 27   2009```1`1`31811013554145`aastx`Book Collection`BOOK 16/8/4 WK````27-Apr-09`08-Jul-09`13148`
692711`740469`813006`N`N`am`eng`Pragmatism as transition : historicity and hope in James, Dewey, and Rorty / Colin Koopman.`Koopman, Colin.`Pragmatism as transition : historicity and hope in James, Dewey, and Rorty /``9780231148740 (cloth : alk. paper)`(OCoLC)ocn318100509`c2009.`Columbia University Press,`2009`aastx`B832 .K66 2009`B  832            K 66   2009```1`1`31811013577385`aastx`Book Collection`BOOK 16/8/4 WK````17-Mar-11`07-Jun-11`14072`
692688`740461`812317`N`N`am`eng`Is God a delusion? : a reply to religion's cultured despisers / Eric Reitan.`Reitan, Eric.`Is God a delusion? : a reply to religion's cultured despisers /``9781405183611 (pbk. : alk. paper)`(OCoLC)ocn226037846`c2009.`Wiley-Blackwell,`2009`aastx`BT1212 .R45 2009`BT 1212            R 45   2009```1`1`31811013576858`aastx`Book Collection`BOOK 16/8/4 WK````17-Mar-11`28-Apr-11`14072`
693690`741057`812960`N`N`am`eng`Lesser good : the problem of justice in Plato and Levinas / Wendy C. Hamblet.`Hamblet, Wendy C., 1949-`Lesser good : the problem of justice in Plato and Levinas /``9780739127612 (cloth : alk. paper)`(OCoLC)ocn256764184`c2009.`Lexington Books,`2009`aastx`B105.J87 H36 2009`B  105            J 87   H 36   2009```1`1`31811013578227`aastx`Book Collection`BOOK 16/8/4 WK````30-Mar-11`06-Jun-11`14112`
692671`740457`813029`N`N`am`eng`Garden and the fire : heaven and hell in Islamic culture / Nerina Rustomji.`Rustomji, Nerina.`Garden and the fire : heaven and hell in Islamic culture /``9780231140843 (cloth : alk. paper)`(OCoLC)ocn226360285`c2009.`Columbia University Press,`2009`aastx`BP166.8 .R87 2009`BP  1668           R 87   2009```1`1`31811013577476`aastx`Book Collection`BOOK 16/8/4 WK````17-Mar-11`07-Jun-11`14072`08-Mar-12
693712`741059`812932`N`N`am`eng`Talking with Sartre : conversations and debates / edited and translated by John Gerassi.``Talking with Sartre : conversations and debates /``9780300151077 (alk. paper)`(OCoLC)ocn317471945`2009.`Yale University Press,`2009`aastx`B2430.S34 A5 2009`B 2430            S 34   A 5   2009```1`1`31811013578276`aastx`Book Collection`BOOK 16/8/4 WK````30-Mar-11`02-Jun-11`14112`
675254`720475`802744`N`N`am`eng`International handbook of cross-cultural counseling : cultural assumptions and practices worldwide / [edited by] Lawrence H. Gerstein ... [et al.].``International handbook of cross-cultural counseling : cultural assumptions and practices worldwide /``9781412959551 (cloth)`(OCoLC)ocn317927725`c2009.`Sage,`2009`aastx`BF636.7.C76 I566 2009`BF  6367           C 76   I 566   2009```1`1`31811013508166`aastx`Book Collection`BOOK 16/8/4 WK````29-Sep-09`10-Mar-10`13401`16-Oct-12
675249`720486`798608`N`N`am`eng`Practitioner's guide to assessing intelligence and achievement / edited by Jack A. Naglieri, Sam Goldstein.``Practitioner's guide to assessing intelligence and achievement /``9780470135389 (cloth)`(OCoLC)ocn268790937`c2009.`John Wiley & Sons,`2009`aastx`BF431 .P675 2009`BF  431            P 675   2009```1`1`31811013508059`aastx`Book Collection`BOOK 16/8/4 WK````29-Sep-09`05-Nov-09`13401`22-Oct-12
670001`715938`791860`N`N`am`eng`Case for contextualism / Keith DeRose.`DeRose, Keith, 1962-`Case for contextualism /``9780199564460 (v. 1 : hbk : alk. paper)`(OCoLC)ocn276817419`2009-`Clarendon Press ; Oxford University Press,`2009`aastx`B809.14 .D47 2009`B  80914          D 47   2009`v.1``1`1`31811013601458`aastx`Book Collection`BOOK 16/8/4 WK````27-Apr-09`24-Jul-09`13149`26-Apr-11
693678`741056`813445`N`N`am`eng`Humanism : a beginner's guide / Peter Cave.`Cave, Peter.`Humanism : a beginner's guide /``1851685898 (pbk.)`(OCoLC)ocn243549498`2009.`Oneworld,`2009`aastx`B821 .C393 2009`B  821            C 393   2009```1`1`31811013761013`aastx`Book Collection`BOOK 16/8/4 WK````30-Mar-11`29-Jun-11`14112`
692660`740449`813009`N`N`am`eng`Cruelty : human evil and the human brain / Kathleen Taylor.`Taylor, Kathleen E. (Kathleen Eleanor)`Cruelty : human evil and the human brain /``9780199552627 (alk. paper)`(OCoLC)ocn269433649`2009.`Oxford University Press,`2009`aastx`BJ1535.C7 T38 2009`BJ 1535            C 7   T 38   2009```1`1`31811013577427`aastx`Book Collection`BOOK 16/8/4 WK````17-Mar-11`07-Jun-11`14072`
668524`714312`788527`N`N`am`eng`Galileo goes to jail : and other myths about science and religion / edited by Ronald L. Numbers.``Galileo goes to jail : and other myths about science and religion /``9780674033276`(OCoLC)ocn256767528`2009.`Harvard University Press,`2009`aastx`BL245 .G35 2009`BL  245            G 35   2009```1`1`31811013569770`aastx`Book Collection`BOOK 16/8/4 WK````30-Mar-09`02-Jun-09`12941`23-Aug-10
692697`740463`812318`N`N`am`eng`Kierkegaard : thinking Christianly in an existential mode / Sylvia Walsh.`Walsh, Sylvia, 1937-`Kierkegaard : thinking Christianly in an existential mode /``9780199208364 (pbk.)`(OCoLC)ocn263408742`2009.`Oxford University Press,`2009`aastx`B4378.C5 W34 2009`B 4378            C 5   W 34   2009```1`1`31811013576825`aastx`Book Collection`BOOK 16/8/4 WK````17-Mar-11`28-Apr-11`14072`
667490`714079`788464`N`N`am`eng`Best of all possible worlds : a story of philosophers, God, and evil / Steven Nadler.`Nadler, Steven M., 1958-`Best of all possible worlds : a story of philosophers, God, and evil /`1st ed.`0374229988 (hardcover : alk. paper)`(OCoLC)ocn216941701`2008.`Farrar, Straus and Giroux,`2008`aastx`B801 .N33 2008`B  801            N 33   2008```1`1`31811013213817`aastx`Book Collection`BOOK 16/8/4 WK````05-Mar-09`01-Jun-09`12931`
667548`713998`788545`N`N`am`eng`Refiguring the ordinary / Gail Weiss.`Weiss, Gail, 1959-`Refiguring the ordinary /``9780253219893 (pbk. : alk. paper)`(OCoLC)ocn177008273`c2008.`Indiana University Press,`2008`aastx`B829.5 .W45 2008`B  8295           W 45   2008```1`1`31811013214351`aastx`Book Collection`BOOK 16/8/4 WK````05-Mar-09`02-Jun-09`12928`
763101`812466`824880`N`N`am`eng`John Stuart Mill : Victorian firebrand / Richard Reeves.`Reeves, Richard.`John Stuart Mill : Victorian firebrand /``9781843546443 (pbk.)`(OCoLC)ocn232713018`2008.`Atlantic Books,`2008`aastx`B1606 .R44 2008`B 1606            R 44   2008```1`1`31811013860955`aastx`Book Collection`BOOK 16/8/4 WK````13-Aug-12``14654`
661702`705844`781602`N`N`am`eng`Historical dictionary of Husserl's philosophy / John J. Drummond.`Drummond, John J., 1945-`Historical dictionary of Husserl's philosophy /``081085368X (hardcover : alk. paper)`(OCoLC)ocn167498398`2008.`Scarecrow Press,`2008`aastx`B3279.H93 Z833 2008`B 3279            H 93   Z 833   2008```1`1`31811013237576`aastx`Book Collection`BOOK 16/8/4 WK````10-Sep-08`22-Jan-09`12482`23-Sep-11
692662`740451`812770`N`N`am`eng`Depth : an account of scientific explanation / Michael Strevens.`Strevens, Michael.`Depth : an account of scientific explanation /``9780674031838 (cloth : alk. paper)`(OCoLC)ocn227327764`2008.`Harvard University Press,`2008`aastx`BD541 .S77 2008`BD  541            S 77   2008```1`1`31811013760940`aastx`Book Collection`BOOK 16/8/4 WK````17-Mar-11`23-May-11`14072`
659801`703215`780091`N`N`am`eng`Religion in American politics : a short history / Frank Lambert.`Lambert, Frank, 1943-`Religion in American politics : a short history /``9780691128337 (alk. paper)`(OCoLC)ocn145941617`c2008.`Princeton University Press,`2008`aastx`BR516 .L36 2008`BR  516            L 36   2008```1`1`31811013212082`aastx`Book Collection`BOOK 16/8/4 WK````25-Jul-08`02-Dec-08`12336`26-Mar-12
652559`696924`771007`N`N`am`eng`Empiricism and Experience / Anil Gupta.`Gupta, Anil, 1949-`Empiricism and Experience /``9780195367263 (pbk.)`(OCoLC)ocn180753649`2008, c2006.`Oxford University Press,`2008`aastx`B105.E9 G87 2008`B  105            E 9   G 87   2008```1`1`31811012376045`aastx`Book Collection`BOOK 16/8/4 WK````20-Feb-08`01-Apr-08`11731`29-Mar-10
692667`740454`812908`N`N`am`eng`Ethics of Emmanuel Levinas / Diane Perpich.`Perpich, Diane.`Ethics of Emmanuel Levinas /``9780804759434 (pbk. : alk. paper)`(OCoLC)ocn184982532`2008.`Stanford University Press,`2008`aastx`B2430.L484 P465 2008`B 2430            L 484   P 465   2008```1`1`31811013576759`aastx`Book Collection`BOOK 16/8/4 WK````17-Mar-11`01-Jun-11`14072`17-Apr-12
668362`714345`789839`N`N`am`eng`Natural beauty : a theory of aesthetics beyond the arts / Ronald Moore.`Moore, Ronald (Ronald M.)`Natural beauty : a theory of aesthetics beyond the arts /``9781551115030 (pbk.)`(OCoLC)ocn144602093`c2008.`Broadview Press,`2008`aastx`BH301.N3 M65 2008`BH  301            N 3   M 65   2008```1`1`31811013556785`aastx`Book Collection`BOOK 16/8/4 WK````25-Mar-09`22-Jun-09`12943`25-Aug-09
649187`696159`769933`N`N`am`eng`First Muslims : history and memory / Asma Afsaruddin.`Afsaruddin, Asma, 1958-`First Muslims : history and memory /``1851685189 (hbk.)`(OCoLC)ocm76852893`2008.`Oneworld,`2008`aastx`BP55 .A37 2008`BP   55            A 37   2008```1`1`31811012350271`aastx`Book Collection`BOOK 16/8/4 WK````03-Dec-07`10-Mar-08`11667`29-Jul-09
668532`714348`789210`N`N`am`eng`Sleeping giant has awoken : the new politics of religion in the United States / edited by Jeffrey W. Robbins and Neal Magee ; introduction by John D. Caputo ; postface by Slavoj Z¿¿iz¿¿ek.``Sleeping giant has awoken : the new politics of religion in the United States /``9780826429681 (hardcover : alk. paper)`(OCoLC)ocn181424151`c2008.`Continuum,`2008`aastx`BR1644.5.U6 S54 2008`BR 16445           U 6   S 54   2008```1`1`31811013570380`aastx`Book Collection`BOOK 16/8/4 WK````30-Mar-09`11-Jun-09`12943`
643789`687185`760542`N`N`am`eng`Life-span development / John W. Santrock.`Santrock, John W.`Life-span development /`11th ed.`9780073531915 (pbk. : alk. paper)`(OCoLC)ocm77524892`c2008.`McGraw-Hill Higher Education,`2008`aastx`BF713 .S26 2008`BF  713            S 26   2008```1`1`31811012726462`aastx`Book Collection`BOOK 16/8/4 WK REQ EXMPT````22-Jun-07`02-Jul-07`11229`05-Oct-12
667491`714078`789141`N`N`am`eng`Quine in dialogue / W.V. Quine ; edited by Dagfinn F¿¿llesdal, Douglas B. Quine.`Quine, W. V. (Willard Van Orman)`Quine in dialogue /``0674030834 (alk. paper)`(OCoLC)ocn214064518`2008.`Harvard University Press,`2008`aastx`B945.Q51 F65 2008`B  945            Q 51   F 65   2008```1`1`31811013558955`aastx`Book Collection`BOOK 16/8/4 WK````05-Mar-09`10-Jun-09`12931`30-Aug-11
692716`740471`813005`N`N`am`eng`Religion of fear : the politics of horror in conservative evangelicalism / Jason C. Bivins.`Bivins, Jason.`Religion of fear : the politics of horror in conservative evangelicalism /``9780195340815`(OCoLC)ocn190872427`2008.`Oxford University Press,`2008`aastx`BR516 .B58 2008`BR  516            B 58   2008```1`1`31811013577369`aastx`Book Collection`BOOK 16/8/4 WK````17-Mar-11`07-Jun-11`14072`04-Oct-11
667552`713994`788532`N`N`am`eng`Between saying and doing : towards an analytic pragmatism / Robert B. Brandom.`Brandom, Robert.`Between saying and doing : towards an analytic pragmatism /``9780199542871 (alk. paper)`(OCoLC)ocn190875125`2008.`Oxford University Press,`2008`aastx`B832 .B67 2008`B  832            B 67   2008```1`1`31811013214195`aastx`Book Collection`BOOK 16/8/4 WK````05-Mar-09`02-Jun-09`12928`
667523`713964`788517`N`N`am`eng`Transforming philosophy and religion : love's wisdom / edited by Norman Wirzba & Bruce Ellis Benson.``Transforming philosophy and religion : love's wisdom /``9780253350732 (cloth : alk. paper)`(OCoLC)ocn173182421`c2008.`Indiana University Press,`2008`aastx`BD436 .T73 2008`BD  436            T 73   2008```1`1`31811013214138`aastx`Book Collection`BOOK 16/8/4 WK````05-Mar-09`02-Jun-09`12927`18-Sep-12
657253`700905`774445`N`N`am`eng`From associations to rules : connectionist models of behavior and cognition / editors, Robert M. French, Elizabeth Thomas.`Neural Computation and Psychology Workshop (10th : 2007 : Dijon, France)`From associations to rules : connectionist models of behavior and cognition /``9812797319 (pbk.)`(OCoLC)ocn198759836`c2008.`World Scientific,`2008`aastx`BF311 .N48 2007`BF  311            N 48   2007```1`1`31811013197580`aastx`Book Collection`BOOK 16/8/4 WK````07-May-08`25-Jun-08`12082`
667529`713960`788623`N`N`am`eng`Reading Ricoeur / edited by David M. Kaplan.``Reading Ricoeur /``9780791475263 (pbk. : alk. paper)`(OCoLC)ocn171151432`c2008.`State University of New York Press,`2008`aastx`B2430.R554 R25 2008`B 2430            R 554   R 25   2008```1`1`31811013214898`aastx`Book Collection`BOOK 16/8/4 WK````05-Mar-09`03-Jun-09`12927`
668536`714311`788443`N`N`am`eng`Exemplarity and chosenness : Rosenzweig and Derrida on the nation of philosophy / Dana Hollander.`Hollander, Dana.`Exemplarity and chosenness : Rosenzweig and Derrida on the nation of philosophy /``9780804755214 (hdbk. : alk. paper)`(OCoLC)ocn154698078`c2008.`Stanford University Press,`2008`aastx`B3327.R64 H65 2008`B 3327            R 64   H 65   2008```1`1`31811013213940`aastx`Book Collection`BOOK 16/8/4 WK````30-Mar-09`01-Jun-09`12941`23-Mar-11
667507`714052`786884`N`N`am`eng`Kingdom of infinite space : a portrait of your head / Raymond Tallis.`Tallis, Raymond.`Kingdom of infinite space : a portrait of your head /``9780300142228 (hbk. : alk. paper)`(OCoLC)ocn216936094`2008.`Yale University Press,`2008`aastx`BD418.3 .T35 2008`BD  4183           T 35   2008```1`1`31811013524445`aastx`Book Collection`BOOK 16/8/4 WK````05-Mar-09`12-May-09`12931`
669009`714983`788001`N`N`am`eng`Cambridge introduction to Michel Foucault / Lisa Downing.`Downing, Lisa.`Cambridge introduction to Michel Foucault /``9780521864435 (hbk.)`(OCoLC)ocn213400661`2008.`Cambridge University Press,`2008`aastx`B2430.F724 D69 2008`B 2430            F 724   D 69   2008```1`1`31811013563609`aastx`Book Collection`BOOK 16/8/4 WK````07-Apr-09`26-May-09`13006`12-Nov-10
650208`696284`770371`N`N`am`eng`Cambridge companion to the Bible / Bruce Chilton, general editor ; Howard Clark Kee ... [et al.].``Cambridge companion to the Bible /`2nd ed.`9780521691406 (pbk.)`(OCoLC)ocn144222458`2008.`Cambridge University Press,`2008`aastx`BS475.2 .C26 2008`BS  4752           C 26   2008```1`1`31811012359942`aastx`Book Collection`BOOK 16/8/4 WK````14-Jan-08`18-Mar-08`11678`07-Apr-08
643789`687185`760544`N`N`am`eng`Life-span development / John W. Santrock.`Santrock, John W.`Life-span development /`11th ed.`9780073531915 (pbk. : alk. paper)`(OCoLC)ocm77524892`c2008.`McGraw-Hill Higher Education,`2008`aastx`BF713 .S26 2008`BF  713            S 26   2008`CD-ROM``1`1`31811012726421`aastx`Book Collection`SOFTWARE RE 16/8/4`ACC`SIUE ACCESS SERVICES``22-Jun-07`02-Jul-07`11229`
668368`714340`789253`N`N`am`eng`Experiments in ethics / Kwame Anthony Appiah.`Appiah, Anthony.`Experiments in ethics /``9780674026094 (hardcover : alk. paper)`(OCoLC)ocn124074792`2008.`Harvard University Press,`2008`aastx`BJ37 .A67 2008`BJ   37            A 67   2008```1`1`31811013570539`aastx`Book Collection`BOOK 16/8/4 WK````25-Mar-09`11-Jun-09`12943`19-Jul-12
