"BIB_ID,MFHD_ID,ITEM_ID,BibSuppress,MfhdSuppress,BIB_FORMAT,LANGUAGE,TITLE,AUTHOR,TITLE_BRIEF,EDITION,ISBN,NETWORK_NUMBER,PUBLISHER_DATE,PUBLISHER,BEGIN_PUB_DATE,MfhdLocation,displayCallNo,normCallNo,ITEM_ENUM,CHRON,COPY_NUMBER,PIECES,ITEM_BARCODE,ItemPermLocCode,ItemPermLocName,ItemPermTypeName,ItemTempLocCode,ItemTempLocName,ItemTempTypeName,CREATE_DATE,UPDATE_DATE,PO_ID,MaxOfCHARGE_DATE"
"475437,507602,569983,N,N,am,eng,""Francisco de Osuna and the spirit of the letter, by Laura Calvert."",""Calvert, Laura."",""Francisco de Osuna and the spirit of the letter,"",,,(OCoLC)ocm00812718,,""[University of North Carolina] Department of Romance Languages, 1973."",@@@@,aastx,BV5080.O82 C3,BV 5080            O 82   C 3,,,1,1,31811003349456,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,16-Mar-15"
"491181,472149,527885,N,N,am,und,ZEN AND ZEN CLASSICS.,""BLYTH, REGINALD HORACE."",ZEN AND ZEN CLASSICS.,,,se 00014173,,,,aastx,BL1493 .B55,BL 1493            B 55,v.5,,1,1,31811010350885,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,05-Mar-14"
"397799,429571,478809,N,N,am,und,MEDITATIONS OF THE EMPEROR MARCUS AURELIUS ANTONINUS,""Marcus Aurelius, Emperor of Rome, 121-180."",MEDITATIONS OF THE EMPEROR MARCUS AURELIUS ANTONINUS,,,se 00003346,,,,aastx,B580 .L62,B  580            L 62,,,1,1,31811003199034,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,02-Apr-18"
"491757,472760,528867,N,N,am,und,COLLECTED WORKS.,""HUTCHESON, FRANCIS, 1694-1746."",COLLECTED WORKS.,,,se 00004663,,,,aastx,B1500 .A21969,B 1500            A 21969,v.2,,1,1,31811010120007,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,28-Jun-13"
"492006,473020,529684,N,N,am,und,TRANSCENDENTAL EPILOGUE,""CAMERON, KENNETH WALTER, 1908-, ED."",TRANSCENDENTAL EPILOGUE,,,se 00003881,,,,aastx,B905 .C3,B  905            C 3,v.3,,1,1,31811003215715,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,26-Mar-12,,21-Oct-14"
"491744,472737,528822,N,N,am,und,HISTORY OF GREEK PHILOSOPHY.,""GUTHRIE, WILLIAM KEITH CHAMBERS, 1906-"",HISTORY OF GREEK PHILOSOPHY.,,,se 00002771,,,,aastx,B171 .G83,B  171            G 83,v.4,,1,1,31811010354465,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,10-May-14"
"491797,472803,529015,N,N,am,eng,SAMTLICHE WERKE.,""Schopenhauer, Arthur, 1788-1860."",SAMTLICHE WERKE.,,,se 00071325,,,,aastx,B 3103 1960,B 3103       1960,v.1,,1,1,31811003254276,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,26-Apr-12,,17-Jun-18"
"491186,472155,527893,N,N,am,und,WRITINGS.,""BASILIUS, SAINT, THE GREAT, ABP. OF CAESAREA, 330 (CA.)-379."",WRITINGS.,,,se 00015362,,,,aastx,BR60.F3 B3,BR   60            F 3   B 3,v.1,,1,1,31811010365354,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,15-May-17"
"491757,472760,528866,N,N,am,und,COLLECTED WORKS.,""HUTCHESON, FRANCIS, 1694-1746."",COLLECTED WORKS.,,,se 00004663,,,,aastx,B1500 .A21969,B 1500            A 21969,v.1,,1,1,31811010118399,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,24-Jun-13"
"474832,506978,569329,N,N,am,eng,Apostolic fathers.,,Apostolic fathers.,,,(OCoLC)ocm00313801,,Harvard University Press.,,aastx,BR60.F3 A61947R,BR   60            F 3   A 61947 R,,,1,1,31811010364647,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,24-Jan-13"
"491779,472783,528974,N,N,am,und,THEOLOGICAL VIRTUES.,""GARRIGOU-LAGRANGE, REGINALD, 1877-"",THEOLOGICAL VIRTUES.,,,se 00018944,,,,aastx,BV4635 .G313,BV 4635            G 313,v.1,,1,1,31811003347450,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,02-Dec-16"
"491181,472149,527882,N,N,am,und,ZEN AND ZEN CLASSICS.,""BLYTH, REGINALD HORACE."",ZEN AND ZEN CLASSICS.,,,se 00014173,,,,aastx,BL1493 .B55,BL 1493            B 55,v.2,,1,1,31811010350851,aastx,Book Collection,BOOK 16/8/4 WK,,,,21-Apr-02,,,02-Sep-14"
