"=""31811010754730""aastx	"
"=""31811010754748""aastx	"
"=""31811010754755""aastx	"
"=""31811010754763""aastx	"
"=""31811010754771""aastx	"
"=""31811012051531""aastx	"
"=""31811011761304""aastx	"
"=""31811010514944""aastx	"
"=""31811011251876""aastx	"
"=""31811011255505""aastx	"
"=""31811010515586""aastx	"
"=""31811010018722""aastx	"
"=""31811010754862""aastx	"
"=""31811010754870""aastx	"
"=""31811012754688""aastx	"
"=""31811012129048""aastx	"
"=""31811012841956""aastx	"
"=""31811012994235""aastx	"
"=""31811012593458""aastx	"
"=""31811012687367""aastx	"
"=""31811012340892""aastx	"
"=""31811013229011""aastx	"
"=""31811010860016""aastx	"
"=""31811010860008""aastx	"
"=""31811010649096""aastx	"
"=""31811011352476""aastx	"
"=""31811011352435""aastx	"
"=""31811011352146""aastx	"
"=""31811011352104""aastx	"
"=""31811011352062""aastx	"
"=""31811011352500""aastx	"
"=""31811011352468""aastx	"
"=""31811011352427""aastx	"
"=""31811011352385""aastx	"
"=""31811011352021""aastx	"
"=""31811011351981""aastx	"
"=""31811011351940""aastx	"
"=""31811011351908""aastx	"
"=""31811011352344""aastx	"
"=""31811011352302""aastx	"
"=""31811011352260""aastx	"
"=""31811011352229""aastx	"
"=""31811011352179""aastx	"
"=""31811011352138""aastx	"
"=""31811011352096""aastx	"
"=""31811011352054""aastx	"
"=""31811010762568""aastx	"
"=""31811010762527""aastx	"
"=""31811010762550""aastx	"
"=""31811010548454""aastx	"
"=""31811011269670""aastx	"
"=""31811011295642""aastx	"
"=""31811011630400""aastx	"
"=""31811003180919""aastx	"
"=""31811003180901""aastx	"
"=""31811003180893""aastx	"
"=""31811010200189""aastx	"
"=""31811003180885""aastx	"
"=""31811003180877""aastx	"
"=""31811003180869""aastx	"
"=""31811003180851""aastx	"
"=""31811003180844""aastx	"
"=""31811003180836""aastx	"
"=""31811003180828""aastx	"
"=""31811003180810""aastx	"
"=""31811003180802""aastx	"
"=""31811003180794""aastx	"
"=""31811003180786""aastx	"
"=""31811011782326""aastx	"
"=""31811010938101""aastx	"
