BIB_ID,MFHD_ID,ITEM_ID,BibSuppress,MfhdSuppress,BIB_FORMAT,LANGUAGE,TITLE,AUTHOR,TITLE_BRIEF,EDITION,ISBN,NETWORK_NUMBER,PUBLISHER_DATE,PUBLISHER,BEGIN_PUB_DATE,MfhdLocation,displayCallNo,normCallNo,ITEM_ENUM,CHRON,COPY_NUMBER,PIECES,ITEM_BARCODE,ItemPermLocCode,ItemPermLocName,ItemPermTypeName,ItemTempLocCode,ItemTempLocName,ItemTempTypeName,CREATE_DATE,UPDATE_DATE,PO_ID,MaxOfCHARGE_DATE
466352,498234,559505,N,N,am,ger,Reziprozita¿¿tstheorem fu¿¿r eine Klasse pseudoholomorpher Funktionen mehrerer komplexer Variabler.,"Tutschke, Wolfgang",Reziprozita¿¿tstheorem fu¿¿r eine Klasse pseudoholomorpher Funktionen mehrerer komplexer Variabler.,,,(OCoLC)ocm04826723,1969.,"Akademie-Verlag,",1969,aastx,AS182 .S214VOL.108PT.5,AS  182            S 214 VOL .108 PT .5,,,1,1,"=""31811010747932""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
471606,503660,565572,N,N,am,ger,Kompositionstafeln quaterna¿¿rer quadratischer Formen.,"INTRAU, OSKAR.",Kompositionstafeln quaterna¿¿rer quadratischer Formen.,,,(OCoLC)ocm04820006,1970.,"Akademie-Verl.,",1970,aastx,AS182 .S21VOL.50PT.2,AS  182            S 21 VOL .50 PT .2,,,1,1,"=""31811010747940""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
127596,137360,152708,N,N,am,eng,Problem of Uganda; a study in acculturation.,"Mukherjee, Ramkrishna.",Problem of Uganda; a study in acculturation.,,,(OCoLC)ocm02097419,1956.,"Akademie-Verlag,",1956,aastx,AS182.B33271955 NR.2,AS  182            B 33271955   NR .2,,,1,1,"=""31811010747825""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
501847,483163,541397,N,N,am,ger,Bu¿¿rgschaft im irischen Recht / von Rudolf Thurneysen.,"Thurneysen, Rudolf, 1857-1940",Bu¿¿rgschaft im irischen Recht /,,,(OCoLC)ocm03063819,1928.,"Verlag der Akademie der wissenschaften, in Kommission bei W. de Gruyter,",1928,aastx,AS182.B341928 NR.2,AS  182            B 341928   NR .2,,,1,1,"=""31811010747817""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
360559,390122,433814,N,N,am,eng,"Hittite hieroglyphs and Luwian : new evidence for the connection / J. D. Hawkins, Anna Morpurgo-Davies, Gu¿¿nter Neumann.","Hawkins, John David.",Hittite hieroglyphs and Luwian : new evidence for the connection /,,,(OCoLC)ocm01859286,[1974],"Vandenhoeck & Ruprecht,",1974,aastx,AS182.G823 JAHRG.1NR.6,AS  182            G 823   JAHRG .1 NR .6,,,1,1,"=""31811010747783""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,7/13/2011
499396,480560,538516,N,N,am,ger,"Nachtra¿¿ge zu den Briefen Leopold Rankes an Ko¿¿nig Maximilian II, von Bayern; Hrsg. von Karl Alexander von Mu¿¿ller.","Ranke, Leopold von, 1795-1886.","Nachtra¿¿ge zu den Briefen Leopold Rankes an Ko¿¿nig Maximilian II, von Bayern;",,,(OCoLC)ocm07943537,1939.,"Verlag der Bayerischen Akademie der Wissenschaften,",1939,aastx,AS182.M8231939 HEFT10,AS  182            M 8231939   HEFT 10,,,1,1,"=""31811010747775""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
497006,478134,535918,N,N,am,ger,Flussname Themse und seine Sippe; Studien zur Anglisierung keltischer Eigennamen und zur Lautchronologie des Altbritischen.,"Fo¿¿rster, Max, 1869-",Flussname Themse und seine Sippe; Studien zur Anglisierung keltischer Eigennamen und zur Lautchronologie des Altbritischen.,,,(OCoLC)ocm03049068,1941.,"In Kommission bei C. H. Beck,",1941,aastx,AS182.M8231941 HEFT1,AS  182            M 8231941   HEFT 1,,,1,1,"=""31811010747965""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,2/11/2008
412831,445362,496506,N,N,am,eng,PARZIVAL-STUDIEN,"Schneider, Hermann, 1886-1961",PARZIVAL-STUDIEN,,,se 00001686,1947.,,1947,aastx,AS182.M8231944/46 HEFT4,AS  182            M 8231944 46   HEFT 4,,,1,1,"=""31811010747957""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,10/9/2009
489225,521867,585769,N,N,am,eng,Internationalization of scholarship and scholarly societies / American Council of Learned Societies.,,Internationalization of scholarship and scholarly societies /,,,(OCoLC)ocm32710568,c1995.,"The Council,",1995,aastx,AS2.5 .I581995,AS    25           I 581995,,,1,1,"=""31811011628586""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
101516,109353,122176,N,N,am,eng,Principles of cultural co-operation.,"Lewis, Sulwyn.",Principles of cultural co-operation.,,,(OCoLC)ocm00202051,[1971],Unesco,1971,aastx,AS2.5 .L48,AS    25           L 48,,,1,1,"=""31811010369067""",aastx,Book Collection,BOOK 16/8/4 WK,,,,4/21/2002,,,
